"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile Quarter","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL07","Region of Maule","M","Male",259.528289152589,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL07","Region of Maule","F","Female",139.57809616967,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL16","Region of Ñuble","_T","Total",180.27003010377,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL16","Region of Ñuble","M","Male",114.11024719637,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL16","Region of Ñuble","F","Female",66.1597829074001,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL08","Region of Biobío","_T","Total",645.631450711161,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL08","Region of Biobío","M","Male",402.329517776421,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL08","Region of Biobío","F","Female",243.30193293474,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL09","Region of La Araucanía","_T","Total",418.481177488099,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL09","Region of La Araucanía","M","Male",261.36165921283,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL09","Region of La Araucanía","F","Female",157.11951827527,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL14","Region of Los Ríos","_T","Total",154.29577784635,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL14","Region of Los Ríos","M","Male",95.4168822111399,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL14","Region of Los Ríos","F","Female",58.8788956352102,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL10","Region of Los Lagos","_T","Total",374.254268282571,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL10","Region of Los Lagos","M","Male",237.60008021092,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL10","Region of Los Lagos","F","Female",136.65418807165,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",49.62279721329,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",31.3653439916,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",18.25745322169,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",71.78167612379,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",47.49888103665,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",24.28279508714,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","_T","Nationwide total","_T","Total",7682.79037207215,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","_T","Nationwide total","M","Male",4669.98139782405,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","_T","Nationwide total","F","Female",3012.80897424832,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL15","Region of Arica y Parinacota","_T","Total",86.8653355355002,,
