"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile trimester","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",53.0461051837207,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",65.3938973594675,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",40.4411136353227,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL07","Region of Maule","_T","Total",52.248797398417,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL07","Region of Maule","M","Male",65.3927704808705,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL07","Region of Maule","F","Female",39.4381123339662,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL16","Region of Ñuble","_T","Total",50.7913265256687,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL16","Region of Ñuble","M","Male",63.4979028814116,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL16","Region of Ñuble","F","Female",38.4612994499069,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL08","Region of Biobío","_T","Total",50.1020092657366,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL08","Region of Biobío","M","Male",59.8460804946676,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL08","Region of Biobío","F","Female",40.5085711891434,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL09","Region of La Araucanía","_T","Total",53.1365051547742,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL09","Region of La Araucanía","M","Male",64.3297839316933,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL09","Region of La Araucanía","F","Female",42.3256087115151,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL14","Region of Los Ríos","_T","Total",55.9294964123338,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL14","Region of Los Ríos","M","Male",66.4866872102924,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL14","Region of Los Ríos","F","Female",45.6550422519854,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL10","Region of Los Lagos","_T","Total",55.4208998600059,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL10","Region of Los Lagos","M","Male",68.2261381020392,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL10","Region of Los Lagos","F","Female",42.0075195246653,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",67.0133442146467,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",72.4122657950464,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",60.909952278067,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",64.0261696342702,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",70.6248459545462,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",56.5666830576207,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","_T","Total",52.4707056612109,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","M","Male",65.8886122289119,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","F","Female",39.5337910678218,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","_T","Total",57.0648425163845,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","M","Male",69.2146707107083,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","F","Female",45.9060046038424,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","_T","Total",61.3992957954254,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","M","Male",72.3605490566814,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","F","Female",49.409329145182,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","_T","Total",55.2297130979364,,
